                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.70106,                0.63481,                 1.1221,                0.81173,                0.74154,                0.80873,                0.66142,                0.75951,                0.78125,                 1.0708,              0.0078022,              0.0078022,              0.0078022
                    114,                0.69746,                0.64363,                 1.1197,                0.82594,                0.70951,                0.80023,                0.65075,                0.77122,                0.80381,                 1.0826,              0.0077824,              0.0077824,              0.0077824
                    115,                0.71394,                0.64844,                 1.1303,                0.80951,                0.72004,                0.79566,                0.64947,                0.75894,                0.80362,                 1.0738,              0.0077626,              0.0077626,              0.0077626
                    116,                0.69414,                0.62951,                 1.1191,                0.83136,                0.71976,                 0.8074,                0.65818,                0.76858,                  0.785,                 1.0811,              0.0077428,              0.0077428,              0.0077428
                    117,                0.69638,                0.63767,                 1.1202,                0.80441,                0.72406,                0.80185,                0.65711,                0.75256,                0.80145,                 1.0705,               0.007723,               0.007723,               0.007723
                    118,                0.68976,                0.63836,                 1.1146,                0.82127,                0.72776,                0.81162,                0.66377,                0.74805,                0.77366,                 1.0715,              0.0077032,              0.0077032,              0.0077032
                    119,                0.70385,                0.63214,                 1.1204,                0.81192,                0.73738,                0.81038,                 0.6623,                0.76386,                0.78642,                 1.0809,              0.0076834,              0.0076834,              0.0076834
                    120,                 0.7066,                  0.637,                 1.1194,                0.82827,                0.71466,                0.80711,                0.65296,                0.75842,                0.79118,                 1.0765,              0.0076636,              0.0076636,              0.0076636
                    121,                0.69661,                0.63203,                 1.1172,                0.83698,                0.72152,                0.81221,                0.65437,                0.76962,                0.78826,                 1.0848,              0.0076438,              0.0076438,              0.0076438
                    122,                  0.675,                0.60466,                 1.1142,                 0.8274,                0.72909,                 0.8092,                0.65588,                0.78334,                0.78976,                  1.097,               0.007624,               0.007624,               0.007624
                    123,                0.69217,                0.63068,                  1.114,                0.83164,                0.71034,                0.80622,                0.65898,                0.75043,                0.79065,                  1.074,              0.0076042,              0.0076042,              0.0076042
                    124,                 0.6862,                0.62084,                 1.1123,                0.84827,                0.71247,                0.81207,                0.66374,                0.75571,                0.77618,                 1.0785,              0.0075844,              0.0075844,              0.0075844
                    125,                0.69196,                 0.6172,                 1.1137,                0.83961,                0.72071,                0.80876,                0.66341,                0.75164,                0.77903,                 1.0682,              0.0075646,              0.0075646,              0.0075646
                    126,                0.69462,                0.61595,                  1.112,                0.85369,                0.70773,                0.80641,                0.65825,                0.75135,                0.78721,                 1.0679,              0.0075448,              0.0075448,              0.0075448
                    127,                0.68799,                0.61755,                 1.1108,                0.81668,                   0.74,                0.81051,                0.66578,                   0.75,                0.78087,                 1.0712,               0.007525,               0.007525,               0.007525
                    128,                0.68206,                0.59907,                 1.1042,                0.81703,                0.72819,                0.81773,                 0.6629,                0.75206,                0.76893,                 1.0696,              0.0075052,              0.0075052,              0.0075052
                    129,                0.69055,                0.62259,                 1.1132,                0.79139,                0.76029,                0.81437,                0.66621,                0.75311,                0.77992,                 1.0671,              0.0074854,              0.0074854,              0.0074854
                    130,                0.69495,                 0.6134,                 1.1132,                0.83857,                0.72734,                 0.8182,                0.66891,                0.74806,                0.77208,                 1.0722,              0.0074656,              0.0074656,              0.0074656
                    131,                0.68488,                0.61736,                  1.107,                0.83845,                0.71799,                0.80799,                0.66126,                0.74745,                0.76775,                 1.0728,              0.0074458,              0.0074458,              0.0074458
                    132,                0.67266,                0.59835,                 1.0966,                0.83373,                0.72849,                0.80352,                0.66078,                0.75439,                0.78016,                 1.0723,               0.007426,               0.007426,               0.007426
                    133,                 0.6877,                0.60669,                 1.1162,                0.83964,                0.72289,                0.81929,                0.67633,                0.74298,                0.74151,                 1.0633,              0.0074062,              0.0074062,              0.0074062
                    134,                0.69208,                0.61795,                 1.1114,                0.79356,                0.75612,                0.81702,                0.66992,                0.75334,                0.77081,                 1.0806,              0.0073864,              0.0073864,              0.0073864
                    135,                0.68933,                0.60732,                 1.1118,                 0.8358,                0.70786,                0.80792,                0.66161,                0.74723,                0.78441,                 1.0695,              0.0073666,              0.0073666,              0.0073666
                    136,                0.68532,                0.61874,                  1.106,                0.84372,                0.71801,                0.81845,                 0.6731,                0.74595,                0.76822,                 1.0649,              0.0073468,              0.0073468,              0.0073468
                    137,                0.66843,                0.59303,                 1.0962,                0.83573,                0.72716,                0.81903,                0.66818,                0.75511,                0.75124,                 1.0708,               0.007327,               0.007327,               0.007327
                    138,                0.66505,                0.58341,                  1.091,                0.82116,                0.74482,                0.81351,                0.66579,                0.76185,                0.77858,                 1.0718,              0.0073072,              0.0073072,              0.0073072
                    139,                0.68422,                0.58915,                 1.1042,                0.80499,                0.73789,                 0.8076,                0.66398,                0.74519,                0.78493,                 1.0704,              0.0072874,              0.0072874,              0.0072874
                    140,                 0.6843,                0.60061,                 1.1023,                0.82563,                0.72531,                 0.8064,                0.66183,                0.74587,                0.79825,                  1.063,              0.0072676,              0.0072676,              0.0072676
                    141,                0.67505,                 0.5973,                 1.1021,                0.83079,                0.71199,                0.80865,                0.65979,                0.74969,                0.76989,                 1.0664,              0.0072478,              0.0072478,              0.0072478
                    142,                 0.6798,                0.61363,                 1.1083,                0.81116,                0.72976,                0.80267,                 0.6573,                 0.7423,                0.77205,                 1.0703,               0.007228,               0.007228,               0.007228
                    143,                0.68486,                0.60607,                 1.1045,                0.81292,                0.73487,                 0.8153,                0.66966,                 0.7422,                0.75855,                  1.059,              0.0072082,              0.0072082,              0.0072082
                    144,                0.67506,                0.59453,                 1.0999,                0.81172,                0.74582,                0.80555,                0.65804,                0.76123,                0.76445,                 1.0753,              0.0071884,              0.0071884,              0.0071884
                    145,                0.67708,                0.58989,                 1.0995,                0.82074,                0.72439,                0.81214,                0.66455,                0.75667,                0.77633,                 1.0699,              0.0071686,              0.0071686,              0.0071686
                    146,                0.68167,                0.59766,                 1.1047,                0.82964,                0.72437,                0.81321,                0.66441,                0.76266,                0.77195,                 1.0698,              0.0071488,              0.0071488,              0.0071488
                    147,                0.67866,                0.59619,                 1.0952,                0.81677,                0.72509,                0.81128,                0.66738,                 0.7555,                0.77338,                 1.0718,               0.007129,               0.007129,               0.007129
                    148,                0.67392,                0.58871,                 1.0964,                0.84252,                 0.7197,                0.81533,                0.67135,                0.74545,                0.76274,                 1.0618,              0.0071092,              0.0071092,              0.0071092
                    149,                0.66459,                 0.5757,                 1.0919,                0.85255,                0.71836,                0.81241,                0.66502,                0.76503,                 0.7838,                 1.0832,              0.0070894,              0.0070894,              0.0070894
                    150,                0.67132,                0.58414,                 1.0877,                0.82113,                0.74001,                0.81747,                0.67439,                0.75118,                0.76517,                 1.0689,              0.0070696,              0.0070696,              0.0070696
                    151,                0.65972,                0.56958,                 1.0929,                0.82538,                0.73437,                0.81736,                0.66682,                0.76093,                0.76401,                 1.0687,              0.0070498,              0.0070498,              0.0070498
                    152,                 0.6706,                0.58949,                 1.1004,                0.82699,                0.72348,                0.80494,                0.66224,                0.74501,                0.78175,                 1.0601,                0.00703,                0.00703,                0.00703
                    153,                0.66118,                0.57254,                 1.0901,                0.80362,                0.74262,                0.81242,                0.66673,                0.75177,                0.77029,                 1.0757,              0.0070102,              0.0070102,              0.0070102
                    154,                0.66176,                0.57149,                 1.0992,                0.84381,                0.70085,                0.80979,                 0.6679,                0.73846,                0.77337,                 1.0612,              0.0069904,              0.0069904,              0.0069904
